No.,Trade Test Centre,Accreditation Number,SAQA ID,Trade Title,Physical Address,Contact No,Email Address,Contact Person,Start Date,End Date
,Eden Hospitality Service and Training Unit (Pty) Ltd,AC-TTC201023171902,110644,Occupational Certificate: Food Handler,"Farm 208, R 102, Airport Road George Western Cape 6529",(044) 884 0791,ronnelie@uxi-ad.co.za,Ronnelie Nieuwenhuis,20-Oct-23,19-Oct-28
,Eden Hospitality Service and Training Unit (Pty) Ltd,AC-TTC201023171902,110354,Occupational Certificate: Kitchen Hand,"Farm 208, R 102, Airport Road George Western Cape 6529",(044) 884 0791,ronnelie@uxi-ad.co.za,Ronnelie Nieuwenhuis,20-Oct-23,19-Oct-28
,Ekurhuleni East TVET College,QCTOASC00210614- 2338,91877,Occupational Certificate: Melter,Sam Mgema Road - Kwa Thema Springs 1560,117306600,errolbeling@gmaill.com,Errol Beling,14-Jun-21,13-Jun-26
,Ekurhuleni East TVET College,07-QCTO/AC-TTC270223104333,93626,Occupational Certificate: Boilermaker,"10 Argon Road - Fulcum Springs
Gauteng",117306600,gugum@eec.edu.za,Gugu Matthews,27-Feb-23,26-Feb-28
,Ekurhuleni Emergency Services Training,07-QCTO/AC-TTC260523133945,98991,Occupational Certificate: Firefighter,"Leon Ferreira Fire Station C/O North Rand & Trichards Roads Boksburg
Gauteng",119995811,Theresa.Geldenhuys@ekurhuleni.gov.za,Theresa Geldenhuys,26-May-23,25-May-28
,Ekurhuleni Metro Police Department Academy,AC-TTC030823094833,97639,Occupational Certificate: Traffic Officer,"3 Habede Street, Kwa Thema
Springs Gauteng 1579",119998531,granny.sebake@rtmc.co.za,Lebo Sebudi,02-Aug-23,01-Aug-28
,Ekurhuleni Metro Police Department Academy,AC-TTC030823094833,101875,Occupational Certificate: Road Traffic Safety Officer,"3 Habede Street, Kwa Thema
Springs Gauteng 1579",119998531,granny.sebake@rtmc.co.za,Lebo Sebudi,02-Aug-23,01-Aug-28
,Elangeni TVET College,05-QCTO/AC-TTC020324164505,91761,Occupational Certificate: Electrician,G384 Ithendele Drive Ntuzuma KwaZulu-Natal 3600,716023409,Thabani.sibiya@elangeni.edu.za,M Zungu,01-Mar-24,28-Feb-29
,Elangeni TVET College,05-QCTO/AC-TTC020324164505,94100,Occupational Certificate: Welder    ,G384 Ithendele Drive Ntuzuma KwaZulu-Natal 3600,716023409,Thabani.sibiya@elangeni.edu.za,M Zungu,01-Mar-24,28-Feb-29
,"Electrical Contractors Association South
Africa",QCTOASC00190516- 1648,91761,Occupational Certificate: Electrician,"91 Newton Road, Meadowdale Ext 2,
Germiston 1401","011 392
0000",angie@ecasa.co.za,Angel Mkhomazi,29-May-19,15-May-24
,Engineering Skills Academy (Pty) Ltd,AC-TTC191023183509,91761,Occupational Certificate: Electrician ,"40 Old Warmbath Road, Hammanskraal
Gauteng 0400","0120230567
0635322227",Fernando.manyisa@eskillsa.co.za,Fernando Manyisa,19-Oct-23,18-Oct-28
,Engineering Skills Academy (Pty) Ltd,AC-TTC191023183509,94020,"Occupational Certificate: Fitter and Turner
","40 Old Warmbath Road, Hammanskraal
Gauteng 0400","0120230567
0635322227",Fernando.manyisa@eskillsa.co.za,Fernando Manyisa,19-Oct-23,18-Oct-28
,Engineering Skills Academy (Pty) Ltd,AC-TTC191023183509,97585,Occupational Certificate: Millwright,"40 Old Warmbath Road, Hammanskraal
Gauteng 0400","0120230567
0635322227",Fernando.manyisa@eskillsa.co.za,Fernando Manyisa,19-Oct-23,18-Oct-28
,Engineering Skills Academy (Pty) Ltd,AC-TTC191023183509,94100,Occupational Certificate: Welder    ,"40 Old Warmbath Road, Hammanskraal
Gauteng 0400","0120230567
0635322227",Fernando.manyisa@eskillsa.co.za,Fernando Manyisa,19-Oct-23,18-Oct-28
,Engineering Skills Academy (Pty) Ltd,AC-TTC191023183509,93627,Occupational Certificate: Bricklayer,"40 Old Warmbath Road, Hammanskraal
Gauteng 0400","0120230567
0635322227",Fernando.manyisa@eskillsa.co.za,Fernando Manyisa,19-Oct-23,18-Oct-28
,Engineering Skills Academy (Pty) Ltd,AC-TTC191023183509,94021,"Occupational Certificate: Mechanical Fitter
","40 Old Warmbath Road, Hammanskraal
Gauteng 0400","0120230567
0635322227",Fernando.manyisa@eskillsa.co.za,Fernando Manyisa,19-Oct-23,18-Oct-28
,Engineering Skills Academy (Pty) Ltd,AC-TTC191023183509,94701,Occupational Certificate: Instrument Mechanician,"40 Old Warmbath Road, Hammanskraal
Gauteng 0400","0120230567
0635322227",Fernando.manyisa@eskillsa.co.za,Fernando Manyisa,19-Oct-23,18-Oct-28
,Engineering Skills Academy (Pty) Ltd,AC-TTC191023184527,91782,Occupational Certificate: Plumber,"40 Old Warmbath Road, Hammanskraal
Gauteng 0400","0120230567
0635322227",Fernando.manyisa@eskillsa.co.za,Fernando Manyisa,19-Oct-23,18-Oct-28
,Enzi Hair Studio,QCTOASC00210726-2507,102497,Occupational Certificate: Hairdresser,"133 Columbine Avenue - Mondeor
Johannesburg 2091",011 680 0223,tom@enzihairstudio.com ,Thomas Monewe,09-Feb-22,08-Feb-27
,Ergo Business Development Academy NPC,07-QCTO/AC-TTC150323010630,97592,Occupational Certificate: Diesel Mechanic,"Cnr Ergo and Vlakfontein Road,
Brakpan Gauteng 1541",011 742 1019/45,tendanim@ebda.co.za,Piet Pistorius,12-Mar-23,11-Mar-28
,Ergo Business Development Academy NPC,07-QCTO/AC-TTC150323010630,94021,Occupational Certificate: Mechanical Fitter,"Cnr Ergo and Vlakfontein Road,
Brakpan Gauteng 1541",011 742 1019/45,tendanim@ebda.co.za,Piet Pistorius,12-Mar-23,11-Mar-28
,Ergo Business Development Academy NPC,07-QCTO/AC-TTC150323010630,93626,Occupational Certificate: Boilermaker,"Cnr Ergo and Vlakfontein Road,
Brakpan Gauteng 1541",011 742 1019/45,tendanim@ebda.co.za,Piet Pistorius,12-Mar-23,11-Mar-28
,Ergo Business Development Academy NPC,07-QCTO/AC-TTC150323010630,97585,Occupational Certificate: Millwright,"Cnr Ergo and Vlakfontein Road,
Brakpan Gauteng 1541",011 742 1019/45,tendanim@ebda.co.za,Piet Pistorius,12-Mar-23,11-Mar-28
,Ergo Business Development Academy NPC,07-QCTO/AC-TTC150323010630,91761,Occupational Certificate: Electrician,"Cnr Ergo and Vlakfontein Road,
Brakpan Gauteng 1541",011 742 1019/45,tendanim@ebda.co.za,Piet Pistorius,12-Mar-23,11-Mar-28
,Ergo Business Development Academy NPC,07-QCTO/AC-TTC150323010630,94100,Occupational Certificate: Welder,"Cnr Ergo and Vlakfontein Road,
Brakpan Gauteng 1541",011 742 1019/45,tendanim@ebda.co.za,Piet Pistorius,12-Mar-23,11-Mar-28
,Ergo Business Development Academy NPC,07-QCTO/AC-TTC150323010630,94020,Occupational Certificate: Fitter and Turner,"Cnr Ergo and Vlakfontein Road,
Brakpan Gauteng 1541",011 742 1019/45,tendanim@ebda.co.za,Piet Pistorius,12-Mar-23,11-Mar-28
,Ergo Business Development Academy NPC,07-QCTO/AC-TTC150323010630,102856,Occupational Certificate: Rigger,"Cnr Ergo and Vlakfontein Road,
Brakpan Gauteng 1541",011 742 1019/45,tendanim@ebda.co.za,Piet Pistorius,12-Mar-23,11-Mar-28
,Esayidi TVET College,AC-TTC170823115542,97990,Occupational Certificate: Automotive Motor Mechanic,"2 Hillside Crescent, Oslo Beach
Port Shepstone KwaZulu-Natal 4240",396854824,Louis.Jooste@gmail.com,Louis Jooste,17-Aug-23,16-Aug-28
,Esayidi TVET College,05-QCTO/AC-TTC020324172307,91782,Occupational Certificate: Plumber,"Corner of R61 and Nzimakwe Roads, Ithongasi Location Port Edward KwaZulu-Natal 4278",393191825,Luvom@live.co.za,Luvo Madizela,01-Mar-24,28-Feb-29
,Eskom Academy of Learning (Brackenfell),01-QCTO/AC-TTC140323224443,91781,Occupational Certificate: Electrical Line Mechanic: Overhead Lines,"Eskom Holdings SOC Limited, Eskom Road Brackenfell Western Cape 7560",0219803090 0725921369,SitoleDJ@eskom.co.za,Dudu Sitole,13-Mar-23,12-Mar-28
,Eskom Holdings Soc Ltd,01-QCTO/AC-TTC231122082212,91761,Occupational Certificate: Electrician,"R27 Off West Coast Trunk Road
Melkbosstrand Western Cape 7441",215505526,SchoolR@eskom.co.za,Kobus De Lange,23-Nov-22,22-Nov-27
,Eskom Holdings Soc Ltd,01-QCTO/AC-TTC231122082212,94701,Occupational Certificate: Instrument Mechanician ,"R27 Off West Coast Trunk Road
Melkbosstrand Western Cape 7441",215505526,SchoolR@eskom.co.za,Kobus De Lange,23-Nov-22,22-Nov-27
,Eskom Holdings Soc Ltd,01-QCTO/AC-TTC231122082212,94020,Occupational Certificate: Fitter and Turner,"R27 Off West Coast Trunk Road
Melkbosstrand Western Cape 7441",215505526,SchoolR@eskom.co.za,Kobus De Lange,23-Nov-22,22-Nov-27
,Eskom Holdings Soc Ltd,01-QCTO/AC-TTC231122082212,94021,Occupational Certificate: Mechanical Fitter,"R27 Off West Coast Trunk Road
Melkbosstrand Western Cape 7441",215505526,SchoolR@eskom.co.za,Kobus De Lange,23-Nov-22,22-Nov-27
,Eskom Holdings SOC Ltd,AC-TTC020823211533,91781,Occupational Certificate: Electrical Line Mechanic: Overhead Lines,"16 Scholand Road, Kruis River, Kariega
Uitenhagen Eastern Cape 6230",437035031,thesenj@eskom.co.za,John Thesen,02-Aug-23,01-Aug-28
,ETS Emergency Training Solutions (Pty) Ltd,07-QCTO/AC-TTC240723095844,98991,Occupational Certificate: Firefighter,"Portion 107 - 67 Waldrift 599 IQ Vereeniging
Gauteng 1931",016 363 0253/ 083 799 6543,info@etsafrica.co.za,Rangwato Jahnelli,24-Aug-23,23-Aug-28
,Exxaro Coal (Pty) Ltd,AC-TTC020823210656,94100,Occupational Certificate: Welder,"4 Ngoako Ramahlodi Road, Onverwacht
Lephalale Limpopo 0557",0147632273/9682,frans.delange@exxaro.com,Frans de Lange,02-Aug-23,01-Aug-28
,Exxaro Coal (Pty) Ltd,AC-TTC020823210656,93626,Occupational Certificate: Boilermaker,"4 Ngoako Ramahlodi Road, Onverwacht
Lephalale Limpopo 0557",0147632273/9682,frans.delange@exxaro.com,Frans de Lange,02-Aug-23,01-Aug-28
,Exxaro Coal (Pty) Ltd,AC-TTC020823210656,91761,Occupational Certificate: Electrician,"4 Ngoako Ramahlodi Road, Onverwacht
Lephalale Limpopo 0557",0147632273/9682,frans.delange@exxaro.com,Frans de Lange,02-Aug-23,01-Aug-28
,Exxaro Coal (Pty) Ltd,AC-TTC020823210656,97592,Occupational Certificate: Diesel Mechanic,"4 Ngoako Ramahlodi Road, Onverwacht
Lephalale Limpopo 0557",0147632273/9682,frans.delange@exxaro.com,Frans de Lange,02-Aug-23,01-Aug-28
,Exxaro Coal (Pty) Ltd,AC-TTC020823210656,97585,Occupational Certificate: Millwright,"4 Ngoako Ramahlodi Road, Onverwacht
Lephalale Limpopo 0557",0147632273/9682,frans.delange@exxaro.com,Frans de Lange,02-Aug-23,01-Aug-28
,Exxaro Coal (Pty) Ltd,AC-TTC020823210656,94020,Occupational Certificate: Fitter and Turner,"4 Ngoako Ramahlodi Road, Onverwacht
Lephalale Limpopo 0557",0147632273/9682,frans.delange@exxaro.com,Frans de Lange,02-Aug-23,01-Aug-28
,Exxaro Coal (Pty) Ltd,AC-TTC020823210656,94021,Occupational Certificate: Mechanical Fitter,"4 Ngoako Ramahlodi Road, Onverwacht
Lephalale Limpopo 0557",0147632273/9682,frans.delange@exxaro.com,Frans de Lange,02-Aug-23,01-Aug-28
,F and O Deliveries (Pty) Ltd,07-QCTO/AC-TTC250124110231,91761,Occupational Certificate: Electrician,"1002 Hanny Street, Claremont Pretoria Gauteng
0082",625175600,marlenerobb@outlook.com,Marlene Robbertse,25-Jan-24,24-Jan-29
,F and O Deliveries (Pty) Ltd,07-QCTO/AC-TTC250124110231,91782,Occupational Certificate: Plumber,"1002 Hanny Street, Claremont Pretoria Gauteng
0082",625175600,marlenerobb@outlook.com,Marlene Robbertse,25-Jan-24,24-Jan-29
,F and O Deliveries (Pty) Ltd,07-QCTO/AC-TTC250124110231,93627,Occupational Certificate: Bricklayer,"1002 Hanny Street, Claremont Pretoria Gauteng
0082",625175600,marlenerobb@outlook.com,Marlene Robbertse,25-Jan-24,24-Jan-29
,Fair Cape Dairies (Pty) Ltd,07-QCTO/AC-TTC240823164820,103092,Occupational Certificate: Liquid Long Life Dairy Products Maker,15 Nywerheidsingel Malmesbury Gauteng 7300,215577600,tanya.reeves@faircape.com,Tanya Reeves,24-Aug-23,23-Aug-28
,Fair Cape Dairies (Pty) Ltd,01-QCTO/AC-TTC240823164425,102917,Occupational Certificate: Fermented Dairy Products Maker,"38 Lauda Road Killarney Gardens Western Cape
7441",021 557 7600,tanya.reeves@faircape.com,Tanya Reeves,24-Aug-23,23-Aug-28
,False Bay TVET College,QCTOASC00210813- 2359,102856,"Occupational Certificate:
Rigger",Corner Morgenster and Swartklip Road Swartklip 7785,217006400,Nasir.solarie@falsebay.or g.za,Nasir Solarie,18-Aug-21,17-Aug-26
,False Bay TVET College,QCTOASC00210726-2508,94573,"Occupational Certificate: Boat Builder
and Repairer (Boat Builder)","Westlake Campus, Westlake Drive
Westlake 7945",021 701 1340,Nasir.Solarie@falsebay.org.za,B G Schrickker,09-Feb-22,08-Feb-27
,False Bay TVET College (Westlake),01-QCTO/AC-TTC150323004419,91761,Occupational Certificate: Electrician,"Westlake Campus, Westlake Drive Westlake Cape Town 7945",0217011340/ 0722277803,ndileka.ndzolo@falsebay.org.za,Ndileka Ndzolo,14-Mar-23,13-Mar-28
,FASAJ FARMS,QCTOASC00210726-2529,102156,Occupational Certificate: Chemical Plant Operator,"166 Gunners Circle
Epping 1 Cape Town 7460","021 534 0433/
083 677 0193 ",Junaine.beckett@fasaj.co.za ,Junaine Beckett,09-Jun-22,08-Jun-27
,FASAJ Farms,01-QCTO/AC-TTC280423141003,102156,Occupational Certificate: Chemical Plant Operator,"166 Gunners Circle, Epping
Cape Town Western Cape 7460",083 677 0193,junaine.beckett@fasaj.co.za,Junaine Beckett,25-Apr-23,24-Apr-28
,FASAJ Farms (Pty) Ltd,01-QCTO/AC-TTC280423141003,111359,Occupational Certificate: Chemical Plant Controller,"166 Gunners Circle - Epping Cape Town
Western Cape 7460",083 677 0193,junaine.beckett@fasaj.co.za,Junaine Beckett,24-Aug-23,23-Aug-28
,FDT Craft Training Centre (Pty) Ltd,08-QCTO/AC-TTC150224124004,91761,Occupational Certificate: Electrician,Kiewiet Street Secunda Mpumalanga 2302,171705010,dnyama@fdttraining.com ebaipane@fdttraining.com,David Nyama,15-Feb-24,14-Feb-29
,FDT Craft Training Centre (Pty) Ltd,08-QCTO/AC-TTC150224124004,93626,"Occupational Certificate: Boilermaker
",Kiewiet Street Secunda Mpumalanga 2302,171705010,dnyama@fdttraining.com ebaipane@fdttraining.com,David Nyama,15-Feb-24,14-Feb-29
,FDT Craft Training Centre (Pty) Ltd,08-QCTO/AC-TTC150224124004,94100,Occupational Certificate: Welder    ,Kiewiet Street Secunda Mpumalanga 2302,171705010,dnyama@fdttraining.com ebaipane@fdttraining.com,David Nyama,15-Feb-24,14-Feb-29
,FDT Craft Training Centre (Pty) Ltd,08-QCTO/AC-TTC150224124004,97585,Occupational Certificate: Millwright,Kiewiet Street Secunda Mpumalanga 2302,171705010,dnyama@fdttraining.com ebaipane@fdttraining.com,David Nyama,15-Feb-24,14-Feb-29
,FDT Craft Training Centre (Pty) Ltd,08-QCTO/AC-TTC150224124004,102856,Occupational Certificate: Rigger,Kiewiet Street Secunda Mpumalanga 2302,171705010,dnyama@fdttraining.com ebaipane@fdttraining.com,David Nyama,15-Feb-24,14-Feb-29
,FDT Craft Training Centre (Pty) Ltd,08-QCTO/AC-TTC150224124004,94021,"Occupational Certificate: Mechanical Fitter
",Kiewiet Street Secunda Mpumalanga 2302,171705010,dnyama@fdttraining.com ebaipane@fdttraining.com,David Nyama,15-Feb-24,14-Feb-29
,Flavius Mareka TVET College,QCTOASC00210726- 2346,91782,Occupational Certificate: Plumber,"Bukes & Reitz Street Kroonstad
9499",562165157,Lourensl@fmtvet.co.za,L Lourens,26-Jul-21,25-Jul-26
,Forek Intitute of Technology Pty Ltd,08-QCTO/AC-TTC140922114913,91761,Occupational Certificate: Electrician,"Factory No 107 Mega Property,
Kabokweni Mpumalanga 1245",013 796 0000,tmanyimo@forekinstitute.co.za,T Manyimo,14-Sep-22,13-Sep-27
,Forek Intitute of Technology Pty Ltd,08-QCTO/AC-TTC140922114913,94100,Occupational Certificate: Welder,"Factory No 107 Mega Property,
Kabokweni Mpumalanga 1245",013 796 0000,tmanyimo@forekinstitute.co.za,T Manyimo,14-Sep-22,13-Sep-27
,Forek Intitute of Technology Pty Ltd,08-QCTO/AC-TTC140922114913,91782,Occupational Certificate: Bricklayer,"Factory No 107 Mega Property,
Kabokweni Mpumalanga 1245",013 796 0000,tmanyimo@forekinstitute.co.za,T Manyimo,14-Sep-22,13-Sep-27
,Forek Intitute of Technology Pty Ltd,08-QCTO/AC-TTC140922114913,94100,Occupational Certificate: Plumber,"Factory No 107 Mega Property,
Kabokweni Mpumalanga 1245",013 796 0000,tmanyimo@forekinstitute.co.za,T Manyimo,14-Sep-22,13-Sep-27
,Gadjeni Trading Enterprise,08-QCTO/AC-TTC260523124746,97992,"Occupational Certificate: Diesel Mechanic
","53 and 55 Wilkens Street, Rocky’s Drift
Mbombela Mpumalang 1200",081 380 5730,selby@kahlesolutions.co.za,Selby Ndlovu,26-May-23,25-May-28
,Gadjeni Trading Enterprise,08-QCTO/AC-TTC260523124746,97990,Occupational Certificate: Automotive Motor Mechanic,"53 and 55 Wilkens Street, Rocky’s Drift
Mbombela Mpumalanga 1200",081 380 5730,selby@kahlesolutions.co.za,Selby Ndlovu,26-May-23,25-May-28
,Gauteng Artisan College (Pty) Ltd,07-QCTO/AC-TTC150224124550,91761,Occupational Certificate: Electrician,"183 South Rand Road, Tulisa Park
Alberton Gauteng",813305914,juriesmall@gmail.com,Jurie Small,15-Feb-24,14-Feb-29
,Gene Louw Traffic Training College,AC-TTC030823092847,97639,Occupational Certificate: Traffic Officer,"Brackenfell Boulevard
Brackenfell Western Cape 7560",219831500,granny.sebake@rtmc.co.za,Jacqueline Tweedie,02-Aug-23,01-Aug-28
,Gene Louw Traffic Training College,AC-TTC030823092847,101875,Occupational Certificate: Road Traffic Safety Officer,"Brackenfell Boulevard
Brackenfell Western Cape 7560",219831500,granny.sebake@rtmc.co.za,Jacqueline Tweedie,02-Aug-23,01-Aug-28
,Gert Sibande TVET College,QCTOASC00210726-2502,91761,Occupational Certificate: Electrician,No 2 Tambourine Avenue Standerton 2430,636974438,dttc.manager@gscollege.edu.za,N Manombe,22-Oct-21,21-Oct-26
,Gert Sibande TVET College,QCTOASC00210726-2502,94021,Occupational Certificate: Mechanical Fitter,No 2 Tambourine Avenue Standerton 2430,636974438,dttc.manager@gscollege.edu.za,N Manombe,22-Oct-21,21-Oct-26
,Gert Sibande TVET College,08-QCTO/AC-TTC150922222758,97585,Occupational Certificate: Millwright,No 2 Tambourine Avenue Standerton 2430,636974438,dttc.manager@gscollege.edu.za,N Manombe,15-Sep-22,14-Sep-27
,Gijima Holding (Pty) Ltd,AC-TTC020823212848,94100,Occupational Certificate: Welder,"C/O Nelson Mandela and Ngwako Ramatlhodi, Onverwacht Lephalale
Limpopo 0557",0149411473/4/7,koos.jacobs@gijima.com,Koos Jacobs,02-Aug-23,01-Aug-28
,Gijima Holding (Pty) Ltd,AC-TTC020823212848,93626,Occupational Certificate: Boilermaker,"C/O Nelson Mandela and Ngwako Ramatlhodi, Onverwacht Lephalale
Limpopo 0557",0149411473/4/7,koos.jacobs@gijima.com,Koos Jacobs,02-Aug-23,01-Aug-28
,Gijima Holding (Pty) Ltd,AC-TTC020823212848,91761,Occupational Certificate: Electrician,"C/O Nelson Mandela and Ngwako Ramatlhodi, Onverwacht Lephalale
Limpopo 0557",0149411473/4/7,koos.jacobs@gijima.com,Koos Jacobs,02-Aug-23,01-Aug-28
,Gijima Holding (Pty) Ltd,AC-TTC020823212848,97585,Occupational Certificate: Millwright,"C/O Nelson Mandela and Ngwako Ramatlhodi, Onverwacht Lephalale
Limpopo 0557",0149411473/4/7,koos.jacobs@gijima.com,Koos Jacobs,02-Aug-23,01-Aug-28
,Gijima Holding (Pty) Ltd,AC-TTC020823212848,102856,Occupational Certificate: Rigger,"C/O Nelson Mandela and Ngwako Ramatlhodi, Onverwacht Lephalale
Limpopo 0557",0149411473/4/7,koos.jacobs@gijima.com,Koos Jacobs,02-Aug-23,01-Aug-28
,Gijima Holding (Pty) Ltd,AC-TTC020823212848,94021,Occupational Certificate: Mechanical Fitter,"C/O Nelson Mandela and Ngwako Ramatlhodi, Onverwacht Lephalale
Limpopo 0557",0149411473/4/7,koos.jacobs@gijima.com,Koos Jacobs,02-Aug-23,01-Aug-28
,Godisang Development,QCTOASC00210818- 2360,91761,"Occupational Certificate:
Electrician",318 Block S - Corner Molefe Makinta and Soutpaan Road Soshanguve 0152,614178528,perfect@godisang.org.za,Perfect Nukeri,18-Aug-21,17-Aug-26
,Godisang Development,QCTOASC00210818- 2360,91782,"Occupational Certificate:
Plumber",318 Block S - Corner Molefe Makinta and Soutpaan Road Soshanguve 0152,614178528,perfect@godisang.org.za,Perfect Nukeri,18-Aug-21,17-Aug-26
,GST Training (Pty) Ltd,QCTOASC00210726-2531,94021,Occupational Certificate: Mechanical Fitter,"Cnr R514 / N4 Highway,
Hartebeespoort, North West 2600",120040744,gary@gstsa.com,Gary Wainwright,02-Jun-22,01-Jun-27
,G-Stuff Trading CC,05-QCTO/AC-TTC150922123140,93627,Occupational Certificate: Bricklayer,"111 – 113 Incubator Building, SEDA Small Business Centre, 127 Johannes Nkosi Street, Durban 4001",031 329 1297,amos@smallbusinessacademy.org.za,Mtshali Mhlaliseni Amos,14-Sep-22,13-Sep-27
,Guvon Academy (Pty) Ltd,QCTOASC00201029- 2190,101697,Occupational Certificate: Chef,"17 Braam Street, Honeydew, Roodepoort",011 568 4967,johann@guvonacademy.c o.za,Johan Oosthuizen,03-Nov-20,03-Nov-25
,Guvon Academy (Pty) Ltd,07-QCTO/AC-TTC250124115123,101697,Occupational Certificate: Chef,"1 Bosbok Road, Randpark Ridge
Randburg Gauteng 2156",115684967,avril@guvonacademy.co.za,Johan Oosthuizen,25-Jan-24,24-Jan-29
,Hamba Nathi Enterprise,07-QCTO/AC-TTC260523122652,94100,Occupational Certificate: Welder,"100 Nagington Road, Wadeville Germiston Gauteng 1401",011 824 0235,joe@hambanathitc.co.za,Joseph Abram Ndhlovu,26-May-23,25-May-28
,Hamba Nathi Enterprise,07-QCTO/AC-TTC260523122652,93626,Occupational Certificate: Boilermaker,"100 Nagington Road, Wadeville Germiston Gauteng 1401",011 824 0235,joe@hambanathitc.co.za,Joseph Abram Ndhlovu,26-May-23,25-May-28
,Hamba Nathi Enterprise,07-QCTO/AC-TTC260523122652,91761,Occupational Certificate: Electrician,"100 Nagington Road, Wadeville Germiston Gauteng 1401",011 824 0235,joe@hambanathitc.co.za,Joseph Abram Ndhlovu,26-May-23,25-May-28
,Hamba Nathi Enterprise,07-QCTO/AC-TTC260523122652,91782,Occupational Certificate: Plumber,"100 Nagington Road, Wadeville Germiston Gauteng 1401",011 824 0235,joe@hambanathitc.co.za,Joseph Abram Ndhlovu,26-May-23,25-May-28
,Hamba Nathi Enterprise,07-QCTO/AC-TTC260523122652,93627,Occupational Certificate: Bricklayer,"100 Nagington Road, Wadeville Germiston Gauteng 1401",011 824 0235,joe@hambanathitc.co.za,Joseph Abram Ndhlovu,26-May-23,25-May-28
,Hatfield Holdings (Pty) Ltd,07-QCTO/AC-TTC071222102338,97990,Occupational Certificate: Automotive Motor Mechanic,"Cnr Witkoppen & Douglas Roads, Fourways Sandton Gauteng 2196",011 658 1599 /     079 015 0144,Janw@fury.co.za,Jan Van Der Walt,07-Dec-22,06-Dec-27
,Headsmart Hair Academy ,07-QCTO/AC-TTC140922114441,102497,Occupational Certificate: Hairdresser,"24 A West Street, Newtown Park
Johannesburg 2001",083 652 9164,lorine@headsmart.co.za,Lorine Smit,15-Sep-22,14-Sep-27
,Highbury College (Pty) Ltd,07-QCTO/AC-TTC250124143804,91761,Occupational Certificate: Electrician,"1st Floor De Villiers Building, 27 Bureau Lane
Pretoria Gauteng 0001",120231923,info@highburycollege.co.za,Oluwayomi Edum,25-Jan-24,24-Jan-29
,HTA Training and Development (Pty) Ltd,AC-TTC261023143448,102296,Occupational Certificate: Cook,128 Brahm Fischer Drive Randburg Gauteng,727356652,kabelo@htatrain.co.za,Kabelo Segone,26-Oct-23,25-Oct-28
,Ilanga Consulting and Trading Logistics,QCTOASC00210726-2541,91761,Occupational Certificate: Electrician,"08 Moller Road, Germiston 1401",0106340830/ 0733941525,baronpfidze@gmail.com,Baron Pfidze,08-Aug-22,07-Aug-27
,In Touch Community Development & Project Managers,AC-TTC231123184325,91782,Occupational Certificate: Plumber,31 Taganashoek Deerpark Tzaneen Limpopo 0850,"0152974511
0834577386","intouch2@mweb.co.za
intouch1@mweb.co.za",Kganya Ramoshaba,23-Nov-23,22-Nov-28
,INDLELA Trade Test Centre,QCTOASC00190620- 1691,91762,Occupational Certificate: Electrician,"Old Pretoria and Kempton Park Road, Olifantsfontein, 1665",429944582,Louw.N@dhet.gov.za,Gerald Hooper,28-Jun-19,28-Jun-24
,Indlela Trade Test Centre,QCTOASC00190620- 1691,94021,Occupational Certificate: Mechanical Fitter                                               ,Old Pretoria Road/ Kempton Park Road Olifantsfontein 1666,112061187,Louw.N@dhet.gov.za,Nic Louw,23-May-22,22-May-27
,Indlela Trade Test Centre,QCTOASC00190620- 1691,94020,Occupational Certificate: Fitter & Turner,Old Pretoria Road/ Kempton Park Road Olifantsfontein 1666,112061187,Louw.N@dhet.gov.za,Nic Louw,23-May-22,22-May-27
,Indlela Trade Test Centre,AC-TTC020823214127,97990,Occupational Certificate: Automotive Motor Mechanic,"Old Pretoria and Kempton Park Road
Olifantsfonten Gauteng 1666",112061187,"Louw.N@dhet.gov.za
Baloyi.A@dhet.gov.za",Nic Louw,02-Aug-23,01-Aug-28
,Indlela Trade Test Centre,AC-TTC020823214127,97592,Occupational Certificate: Diesel Mechanic,"Old Pretoria and Kempton Park Road
Olifantsfonten Gauteng 1666",112061187,"Louw.N@dhet.gov.za
Baloyi.A@dhet.gov.za",Nic Louw,02-Aug-23,01-Aug-28
,Indlela Trade Test Centre,AC-TTC020823214127,102497,Occupational Certificate: Hairdresser,"Old Pretoria and Kempton Park Road
Olifantsfonten Gauteng 1666",112061187,"Louw.N@dhet.gov.za
Baloyi.A@dhet.gov.za",Nic Louw,02-Aug-23,01-Aug-28
,Indlela Trade Test Centre,AC-TTC191023190047,93626,Occupational Certificate: Boilermaker,"Old Pretoria and Kempton Park Road
Olifantsfonten Gauteng 1666",112061187,"Louw.N@dhet.gov.za
Baloyi.A@dhet.gov.za",Nic Louw,19-Oct-23,18-Oct-28
,INDLELA Trade Test Centre ,07-QCTO/AC-TTC140922104028,91782,Occupational Certificate: Plumber,Old Pretoria Road/ Kempton Park Road Olifantsfontein 1666,112061187,Louw.N@dhet.gov.za,Nic Louw,14-Sep-22,13-Sep-27
,Industries Education and Training Institute,02-QCTO/AC-TTC081222152857,91761,Occupational Certificate: Electrician,"Cnr 14, Uitenhage & Some Roads, Sydenham, Gqeberha Eastern Cape 6024",414871545,chendricks@eitisa.co.za,Craig Hendricks,08-Dec-22,07-Dec-27
